title,source,q1,q2,sep
How do I calculate the inclination of an object with an amateur telescope?,Astronomy_0,Would it be possible to do this with an amateur telescope?,How would I go about doing so?,0
How are the compositional components of exoplanet atmospheres differentiated?,Astronomy_1,"How are exoplanetary atmosphere compositional spectra distinguished from those of the parent star(s), from the composition of the planetary surface or any other factor?",Is it actually possible to determine the atmospheric composition precisely using this method?,0
How are the compositional components of exoplanet atmospheres differentiated?,Astronomy_1,Is it actually possible to determine the atmospheric composition precisely using this method?,Are there any specific examples of such an analysis having been performed on an exoplanet?,0
Why can't light escape from a black hole?,Astronomy_2,Can it?,"If not, why?",0
Are astronomers researching or trying to find signs of worm holes?,Astronomy_3,Are astronomers seriously considering and researching this phenomenon?,What could be the signature of wormholes?,0
Are astronomers researching or trying to find signs of worm holes?,Astronomy_3,What could be the signature of wormholes?,Would next generations telescopes as ELT able to detect such signatures?,0
"Can ""dark matter"" be the additional mass from the speed of the Galactic Cluster?",Astronomy_4,"Considering that the Earth orbits the Sun at 100 000 km/h and that the Sun orbits the Milky Way at almost 1 000 000 km/h, could it be possible that the galactic cluster orbits some super cluster at speeds approaching 1 000 000 000 km/h?","If it did, how would that affect the mass of the cluster and how would we know or be able to measure it?",0
"Can ""dark matter"" be the additional mass from the speed of the Galactic Cluster?",Astronomy_4,"If it did, how would that affect the mass of the cluster and how would we know or be able to measure it?","Can you show any calculations to prove that this additional mass is not in line with what's measured for ""Dark Matter""?",0
Why is only one side of the Moon visible from Earth?,Astronomy_5,Why do we only ever see the same side of the moon?,If this is to do with gravity are there any variables which mean we might one day see more than we have before?,0
How do star densities work?,Astronomy_6,"r136a1 has a much stronger gravitational pull than UY Scuti, but it should also have much more radiation pressure, right?",So how can we determine the density of a star?,0
How do star densities work?,Astronomy_6,So how can we determine the density of a star?,Is there a formula?,0
"Is it proper to refer to objects beyond Neptune as ""Kuiper Belt Objects?""",Astronomy_7,Is there any difference between Kuiper Belt Objects and Trans-Neptunian Objects?,"If not, is one term preferred over the other?",0
Precise declination of Moon,Astronomy_8,Is this related to this?,"13.2 deg * 4 min/deg = 53 min   The maximum inclination of the moon, for standstill, can it be specified by the eclipse point?",0
How do we know the current state of the universe by observing it from Earth?,Astronomy_9,"Since light travels at the constant speed and takes more than a billion years to travel from the distant parts of the Universe, how do we know the state of the distant regions?",Do those still exist or not?,0
How do we know the current state of the universe by observing it from Earth?,Astronomy_9,Do those still exist or not?,Is our picture of the Universe outdated?,0
What do gravitational waves allow us to understand?,Astronomy_10,Is this discovery going to help us understand something we haven't understood yet?,Dark matter?,0
What do gravitational waves allow us to understand?,Astronomy_10,Dark matter?,Galaxy movements?,0
What do gravitational waves allow us to understand?,Astronomy_10,Galaxy movements?,FTL travel?,0
What do gravitational waves allow us to understand?,Astronomy_10,FTL travel?,"Gravity manipulation, Interstellar style?",0
What do gravitational waves allow us to understand?,Astronomy_10,"Gravity manipulation, Interstellar style?","So, what are the doors this discovery will open ?",105
Neutrino producton rate over time,Astronomy_11,Has the rate of neutrino production in the universe varied over time?,Are there more or less being created now against the early days?,0
"A non rotating asteroid of huge mass collides with earth. After the collision, does the length of the day on earth change?",Astronomy_12,"After the collision, would the length of the day on earth increase or decrease?",Why?,0
Can any information leave a black hole?,Astronomy_14,"Referring to this question, is there any information that can leave black holes?",Are they causing a permanent information loss in our universe?,0
"What is this thin, square-ish object on asteroid Bennu? How big is it?",Astronomy_15,What could this square thing be?,Roughly how big is it?,0
Can an astronaut ever reach a Black Hole theoretically?,Astronomy_16,"So, what's happening to the equation above then?",Which one is the correct theoretical answer?,119
