title,source,q1,q2,sep
Importing source from Ancestry or FamilySearch into Gramps automatically?,Genealogy_0,So I would like to know what are established best practices for adding new sources to gramps for records found through online searches?,"Is there a way to import the stuff in some semi-automatic way, or must everything be re-typed?",0
Importing source from Ancestry or FamilySearch into Gramps automatically?,Genealogy_0,"Is there a way to import the stuff in some semi-automatic way, or must everything be re-typed?",How are images of documents best handled?,0
Importing source from Ancestry or FamilySearch into Gramps automatically?,Genealogy_0,How are images of documents best handled?,What are good naming patterns for image files?,0
What is the earliest age a boy in England could get married in the 1800s?,Genealogy_1,"I know that getting married at 14 is very unlikely, but what about age 17?",What is the earliest age that was considered proper for a boy to get married in England in the 1800's?,0
How can I search Findmypast for children born to a given set of parents?,Genealogy_2,"Findmypast is an excellent resource for UK records, but is there an easy way that I can find the parish baptisms for any child born to a given set of parents?",Is there a better way?,359
Where do I find my Gramps data on a Mac or other Unix based file system?,Genealogy_3,"If I am running gramps, and I load a gedcom file in - where does it put the data file?","If I load more than one, where are they?",0
Sources for Border Crossings between Toronto and Chicago in early 1890's?,Genealogy_5,"What records might exist for border crossings and travel in early 1890's between Toronto, Ontario, Canada, and Chicago, Cook County, Illinois, USA, probably via Michigan?","Are there any other records (shipping, railroad, border control) that would mention people crossing this border?",567
Determining percent Spanish?,Genealogy_6,"If my mom Grandmother was Spaniard, does that make my mom 25 percent Spaniard?",What percent does that make me?,0
How do I convert my RAW FamilyTreeDNA FamilyFinder test result files to Ancestry or 23andMe format?,Genealogy_7,How do I convert the the RAW FamilyTreeDNA.com Family Finder Autosomal and X DNA result files into another sites format like Ancestry.com's or 23andMe's format?,What methods (whether it be a application or a procedure) are available to convert this data format so we can use the results in these utilities?,229
How should I show my step-mother?,Genealogy_9,How should I show my step-mother and my half-siblings?,"I mean, will my father's marriage to my step-mother be on the same level, underneath or something else?",0
"Ostrow, Ostrowez, or Ostroweic Russia before 1907- where now?",Genealogy_11,Is this now in Poland?,Where?,0
Finding records for indentured servants in South Carolina?,Genealogy_14,Does a record still exist to show that this did happen?,Is there a history of this family?,0
How many generations back is suggested by 6 mutations on a yDNA-67 match?,Genealogy_16,"Statistically, how many generations away would our common ancestor be to give a mean of 6 mutations?",How many generations plus or minus would you need to add to the mean to include one standard deviation?,0
