title,source,q1,q2,sep
"Is there a special name for along-course elevation profiles of rivers, and where you can you find them?",EarthScience_0,Are these along-course cross-sections made enough that there's a name for them?,"And if so, is there any resource where such images can readily be found for major rivers worldwide?",0
Global Land and Sea Surface Temperature Data,EarthScience_1,Do you use any data beside those publicly available from NASA and ESA?,Which ones?,0
Global Land and Sea Surface Temperature Data,EarthScience_1,Which ones?,What may be some uses of such high temporal resolution surface temperature data?,0
Sulfate reduction,EarthScience_2,"So how can they say that the main form of sulfur is sulfide in this zone if the sulfate reduction process is not occurring, or very limited, due to low amounts of labile carbon?",Isn't it common for sulfate to be main form of S even in anaerobic zones?,60
"Relationship between pressure, temperature and density in meterology",EarthScience_3,"Am I wrong to assume that the simplifying assumption is that, to a first order approximation, the density can't really change much about an area since a parcel of air could expand, but the whole atmosphere locally can't (since the 'parcels' all abut)?","In other words, ground heating causes temperature to rise, and thus presumably pressure, but to a negligible degree decreases density?",0
Why does Earth have two kinds of crusts?,EarthScience_5,"Why does Earth have two clearly differentiated kinds of crusts, namely continental and oceanic?",How did they differentiate initially and why don't they get mixed up over time?,0
Conversion of body wave magnitude to moment magnitude,EarthScience_6,How do I convert the different type of magnitude to moment magnitude and what do they depend on?,Is it a pure empirical relationship?,0
What would happen to the Subtropical Ridge/Horse latitudes and Polar front if the Earth was rotating 5% faster?,EarthScience_8,Would they move towards the Equator/Poles?,Stay in the same place?,0
What would happen to the Subtropical Ridge/Horse latitudes and Polar front if the Earth was rotating 5% faster?,EarthScience_8,Stay in the same place?,What about if the Earth was rotating 10% slower?,0
What would happen to the Subtropical Ridge/Horse latitudes and Polar front if the Earth was rotating 5% faster?,EarthScience_8,What about if the Earth was rotating 10% slower?,Is there a rotation speed for Earth which will lead to 4 wind belts instead of 3 ?,0
How did CO₂ originate on Earth before there was life?,EarthScience_9,Where did the [tex] came from?,Is this the answer?,47
How is ground water mapped?,EarthScience_10,This is probably a very easy question to answer but how are the USGS maps showing ground water locations mapped?,Is it a guy going around taking core samples?,0
How is ground water mapped?,EarthScience_10,Is it a guy going around taking core samples?,Or is it done using satellites and aircraft?,0
How is ground water mapped?,EarthScience_10,Or is it done using satellites and aircraft?,"Also related, how quickly do these flows change?",0
How is ground water mapped?,EarthScience_10,"Also related, how quickly do these flows change?",Is taking measurements once a year fast enough or does it need to be updated daily?,0
Climate in subequatorial regions,EarthScience_12,Recently my prof asked a question:     Why in subequatorial regions do we have six months of rainy season and six months dry season?,How do wet and dry seasons 'form'?,0
Climate in subequatorial regions,EarthScience_12,How do wet and dry seasons 'form'?,Can anyone help with the answer?,44
What does a negative value for the inclusive graphic standard deviation mean?,EarthScience_13,What does this mean?,"Does this mean it is very well sorted, or have I made a calculation error?",0
Why isn't the date of final stratospheric warming and polar vortex breakup regared as the official end of winter?,EarthScience_14,"Based on our current best science, would it make sense to identify the winter/spring boundary as the date of final stratospheric warming?",Or are there other considerations that are arguably more important---that arguably make more scientific sense as winter/spring demarcators?,0
Why isn't the date of final stratospheric warming and polar vortex breakup regared as the official end of winter?,EarthScience_14,Or are there other considerations that are arguably more important---that arguably make more scientific sense as winter/spring demarcators?,"Speaking of which---and yes, sorry, this is off topic---but does anyone have any guesses as to why don't the major media outlets report on the date of the polar vortex breakup, regardless of the definition of the seasons?",613
Why isn't the date of final stratospheric warming and polar vortex breakup regared as the official end of winter?,EarthScience_14,"Speaking of which---and yes, sorry, this is off topic---but does anyone have any guesses as to why don't the major media outlets report on the date of the polar vortex breakup, regardless of the definition of the seasons?","So: purely on the basis of current best science, would it make sense to define the end of winter as the date of the final warming?",1704
Why isn't the date of final stratospheric warming and polar vortex breakup regared as the official end of winter?,EarthScience_14,"So: purely on the basis of current best science, would it make sense to define the end of winter as the date of the final warming?","But, so what?",259
Why isn't the date of final stratospheric warming and polar vortex breakup regared as the official end of winter?,EarthScience_14,"But, so what?","But, so what?",207
Why isn't the date of final stratospheric warming and polar vortex breakup regared as the official end of winter?,EarthScience_14,"But, so what?","(And while we're at it--and I know this is off topic, but still---why don't the media report the date of the breakup of the polar vortex?",180
Can ultrasounds be used to map the density of large underground regions?,EarthScience_15,Could it see everything within range?,"For example, could it see a region of high density and a region of low density behind it?",0
Can ultrasounds be used to map the density of large underground regions?,EarthScience_15,"For example, could it see a region of high density and a region of low density behind it?",Or would one block the other?,0
Can ultrasounds be used to map the density of large underground regions?,EarthScience_15,Or would one block the other?,What would the range be?,0
Can ultrasounds be used to map the density of large underground regions?,EarthScience_15,What would the range be?,And how accurate would it be (in density readings and exact location readings)?,0
Can ultrasounds be used to map the density of large underground regions?,EarthScience_15,And how accurate would it be (in density readings and exact location readings)?,More accurate than a gravimetric map?,0
Is it ok to use biology microscope for gemological purpose?,EarthScience_16,Is it ok to use biology microscope for gemological purpose?,What's the difference?,0
What is Stock or Overflow Pit? Is it a terminology in geography? What is the correct word for it?,EarthScience_18,What does Stock or Overflow Pit?,Is it related to geography or geomorphology term?,0
What is Stock or Overflow Pit? Is it a terminology in geography? What is the correct word for it?,EarthScience_18,Is it related to geography or geomorphology term?,Is there another word that is similar to it?,0
What is Stock or Overflow Pit? Is it a terminology in geography? What is the correct word for it?,EarthScience_18,Is there another word that is similar to it?,Would someone out there helped me what they are or what does it look like?,114
How to determine constant $C$ in $p(x) = Cx^{-D}$?,EarthScience_19,"Given a distribution obeying the power-law (fractal) relation, such as the cumulative distribution function [tex], if [tex] is given, how does one find the constant [tex] from a given data set?",/ Geomorphology 130 (2011)]  how does one determine how the values for [tex] were obtained?,55
What are the conditions for an ionosphere to form?,EarthScience_20,I already asked this on Astronomy SE but did not receive any answer so far:  What are the prerequisites for an ionosphere to form?,"For example, can a planet without any atmosphere have an ionosphere?",0
What are the conditions for an ionosphere to form?,EarthScience_20,"For example, can a planet without any atmosphere have an ionosphere?","What about a planet that is very far from its sun, is there a point where the solar wind is too weak to create an ionosphere?",0
What are the conditions for an ionosphere to form?,EarthScience_20,"What about a planet that is very far from its sun, is there a point where the solar wind is too weak to create an ionosphere?","In one sentence, what are the conditions for an ionosphere to form on a given planet?",0
"Structural geology, regarding cross section of two outcrops with similar characteristic but very distinct dip",EarthScience_21,The question is what should I do to make a cross section?,"should I connect the bed layer, considering their similar characteristic, or make a new layer, considering the distinct strike/dip?",0
Cooling effect by evaporation,EarthScience_22,Why exactly does water cool down by evaporation?,What happens in this process?,0
Cooling effect by evaporation,EarthScience_22,What happens in this process?,How much does it cool down?,0
Cooling effect by evaporation,EarthScience_22,How much does it cool down?,What's the formula to describe this process?,0
Locate people by Oxygen/Carbon Dioxide levels,EarthScience_23,It is possible to locate people's location by fluctuations in the Oxygen/Carbon Dioxide levels in the area (from people breathing)?,Edit: This was marked as off-topic?,713
Locate people by Oxygen/Carbon Dioxide levels,EarthScience_23,Edit: This was marked as off-topic?,Seriously?,0
"What do continents ""lay"" on?",EarthScience_24,"It's a simple question.. What do continents ""lay"" on?",Do they float on water?,0
"What do continents ""lay"" on?",EarthScience_24,Do they float on water?,"or are they huge bodies that ""emerge"" from the sea floor/bed?",0
"What do continents ""lay"" on?",EarthScience_24,"or are they huge bodies that ""emerge"" from the sea floor/bed?",are they connected to the bottom of the oceans?,0
Shouldn't India Get an Uplift Too?,EarthScience_26,But why is Tibet the one getting an uplift?,"Why isn't India, instead?",0
Importance of meteorite impact craters in geology?,EarthScience_27,What is the economic importance of large meteorite impact craters with a diameter over 100 m?,Can they form diamonds or produce other economic deposits?,0
"What does the term spreading the risk mean, with regard to natural disasters?",EarthScience_28,"What does the phrase ""spreading the risk"" mean with regards to risk assessment of natural hazards/disasters?","More specifically, what does the phrase mean with regards to insurance and aid, to reduce vulnerability to a disaster/hazard event?",458
Is climate chaotic?,EarthScience_29,"Whereas small changes in initial values can imply large changes in behaviour over time, can there be any similar behaviour in climate?",Can a small change in any of those boundary values lead to a climate exbiting a different state?,121
Is climate chaotic?,EarthScience_29,Can a small change in any of those boundary values lead to a climate exbiting a different state?,"Or, similarly, can, in the context of natural variability only, the climate suddenly switch to a very different state?",0
