title,source,q1,q2,sep
Are there official rules for touch rugby?,Sports_0,Are there official rules for touch rugby?,"If so, where can I find them and who were they made by?",0
How long does it usually take to take a corner kick?,Sports_2,"After a corner is awarded (when ball is knocked over the goal line), how long is it before the corner is actually delivered, in the top leagues or in internation games?",Is there a maximum amount of time players can use up before taking the corner?,0
How long does it usually take to take a corner kick?,Sports_2,Is there a maximum amount of time players can use up before taking the corner?,What about time for attackers/defenders to get into position?,0
What is the most match points saved by a tournament winner?,Sports_3,What is the record for the most match points saved by a tournament winner throughout the tournament?,We have a similar question about most match points saved in one match: Maximum match point saved in a tennis match?,71
Was Messi's Penalty Kick against Celta de Vigo in La Liga 2016 considered a miss?,Sports_4,"Was Messi's Penalty Kick against Celta de Vigo in La Liga 2016 considered a miss, according to FIFA rules?",In Are players allowed to pass a penalty?,0
Was Messi's Penalty Kick against Celta de Vigo in La Liga 2016 considered a miss?,Sports_4,In Are players allowed to pass a penalty?,"it's established that it is possible to 'pass' a penalty kick, however does it count as a miss?",0
Is the classic alpine combined used as a skiing discipline or now all drive super combined?,Sports_5,"From the past years I only see a Super Combined discipline, right?",Is the classic Alpine combined used at all?,0
Is the quarterback allowed to make an underhand throw in the NFL?,Sports_6,Is the quarterback allowed to make an underhand throw in the NFL?,"If so, if the pass is incomplete is the play dead?",0
Should Jorgensen have been sent off for his DOGSO foul in Croatia-Denmark (2018 FIFA World Cup)?,Sports_7,Is the fact Jorgensen was trying to get the ball enough to downgrade the red card to a simple yellow card in this case?,"So, why did the referee apply that special provision of Law 12 that allowed him to only give a yellow card to Jorgensen, when this exception is only valid in situations when an obvious goal-scoring opportunity is denied?",2227
Should Jorgensen have been sent off for his DOGSO foul in Croatia-Denmark (2018 FIFA World Cup)?,Sports_7,"So, why did the referee apply that special provision of Law 12 that allowed him to only give a yellow card to Jorgensen, when this exception is only valid in situations when an obvious goal-scoring opportunity is denied?","So, was cautioning Jorgensen a mistake under the current Laws of the Game?",618
Should Jorgensen have been sent off for his DOGSO foul in Croatia-Denmark (2018 FIFA World Cup)?,Sports_7,"So, was cautioning Jorgensen a mistake under the current Laws of the Game?",Or are there any other official rules/interpretations that justify a yellow card and that I'm unaware of?,0
Who comes out of the penalty box after goal?,Sports_8,"Assuming that Adam still has more than 2 minutes left on his penalty, does Bob come out of the box, moving to a 5-on-4 powerplay for the duration of Adam's penalty, or does Adam's penalty time get reduced to 2 minutes, and the 5-on-3 continues?","However, if Bob's penalty time also finishes before a stoppage in play, then Adam comes out of the box to bring Team 1 to 5-on-4?",438
Who comes out of the penalty box after goal?,Sports_8,"However, if Bob's penalty time also finishes before a stoppage in play, then Adam comes out of the box to bring Team 1 to 5-on-4?","Furthermore, if there is still no stoppage in play, and Chuck's penalty time finishes, then Bob comes out of the box putting both teams at even strength, and then Chuck comes out at the next stoppage in play?",0
Who comes out of the penalty box after goal?,Sports_8,"Furthermore, if there is still no stoppage in play, and Chuck's penalty time finishes, then Bob comes out of the box putting both teams at even strength, and then Chuck comes out at the next stoppage in play?","Also, how might things change if Adam or Bob had a major penalty?",0
Who comes out of the penalty box after goal?,Sports_8,"Also, how might things change if Adam or Bob had a major penalty?","Does Adam come out of the box and Bob goes in, with 4-on-4 continuing until Zack comes out of the box, or does Adam stay in the box, and Bob doesn't go to the box?",208
Has a golf hole ever gone an entire round in a full-field event without any score worse than par?,Sports_9,And that got me to wondering... has a field ever gone perfect for a round in a tournament?,And/or what's the longest streak of par or better for the field?,0
Can you choose to play a fault serve in racquetball?,Sports_10,Does a fault serve automatically end the rally?,Or can I choose to return the serve and continue the rally?,0
Can an athlete with double nationality beat two country records at the same time?,Sports_12,"There are a lot of comments asking whether this is true or not, so is there any official source that confirm or deny this?",Would this be the case for any other athlete with multiple nationalities?,0
Why do coaches reveal the actual formation of their squad in association football?,Sports_13,"Now since this can't be enforced as a rule, wouldn't it be strategically benificial that coaches lie about who's playing where ?",Does this ever happen ?,100
What will be the Davis Cup format from 2019?,Sports_14,"Still, I have some questions about it:   How will those 24 countries selected?",What will the format be exactly?,0
What will be the Davis Cup format from 2019?,Sports_14,What will the format be exactly?,Will the results count towards the ATP ranking?,0
What will be the Davis Cup format from 2019?,Sports_14,Will the results count towards the ATP ranking?,(Since they 2016 do not) How will the hosting country be elected?,0
What will be the Davis Cup format from 2019?,Sports_14,(Since they 2016 do not) How will the hosting country be elected?,Are there plans to extend this into the Fed Cup for women?,0
Difference in boxing between PTS and UD,Sports_15,What's the acutal difference?,What's then PTS meaning?,102
"Why do few teams use ""hybrid"" starters other than the Tampa Bay Rays?",Sports_16,"The Pirates actually had three potential starters of this type: Glasnow, Chad Kuhl (now injured), and Steve Brault?","have Glasnow, Kuhl and Brault start on the 5th, 10th, and 15th day of a cycle, with the other two as backups during those games?",48
"Why do few teams use ""hybrid"" starters other than the Tampa Bay Rays?",Sports_16,"have Glasnow, Kuhl and Brault start on the 5th, 10th, and 15th day of a cycle, with the other two as backups during those games?","What might Tampa Bay do this, not others, including the Pittsburgh Pirates?",316
Where do I find the most updated NBA rulebook?,Sports_17,What is the official link of the most updated NBA rulebook?,Is the rulebook accessible only to the media?,221
Where do I find the most updated NBA rulebook?,Sports_17,Is the rulebook accessible only to the media?,"If so, why?",0
What do people with red flags signify?,Sports_18,Watching the Montreal triathlon there's something bugging me    What do people with red flags signify?,So what do they do?,192
"Is is feasible to walk/run an average of 90,000 steps a day?",Sports_19,"Is it remotely feasible to walk more than 90,000 steps a day, every day for a month?",Is this something that someone may do in the course of training or some running sport?,0
"What happens if a team returns a blocked extra point a long way, but not all the way to the end zone?",Sports_20,"However, what if the defense returns the ball to, say, the opposing 20-yard line?","Is that the usual kickoff, or does the defense have the option to keep the ball at the 20?",0
Returning a blocked extra point for a score: who kicks off to whom?,Sports_21,Who kicks off to whom?,"The defense who just scored the two points, or the offense who scored the TD?",0
Do goalkeepers return faster than field players from injury in football?,Sports_22,I was wondering whether this means that goalkeepers are allowed to return from an injury earlier than field players?,"For example, imagine if Ronaldo and Buffon get the exact same ACL tear at the same time and go through the same sort of recovery phase... will Buffon be allowed back onto the pitch earlier than Ronaldo?",0
Do goalkeepers return faster than field players from injury in football?,Sports_22,"For example, imagine if Ronaldo and Buffon get the exact same ACL tear at the same time and go through the same sort of recovery phase... will Buffon be allowed back onto the pitch earlier than Ronaldo?","Or are all players more or less forced to wait until they are healed properly, regardless of whether they are field players or goakeepers?",0
Multiple yellow cards at a single free kick for encroachment,Sports_23,Is it acceptable (or even permissible) to award more than one yellow card to encroaching players on a free kick?,Are there circumstances where multiple cards would be appropriate?,97
"Can a batsman be out hit wicket on a no ball, and do runs scored count?",Sports_25,Will the runs be considered or not?,And will be the striker be out hit wicket or not?,0
Why does the Australian soccer team compete in the Asian qualifiers for the World Cup?,Sports_26,"Presumably, Australia joined the Asian Football Confederation and since then competes in the Asian qualifiers, but why did they make this move?","I can think of a few reasons:   Better chance of qualification (Australia's home continent, Oceania, has only 'half a place' in the World Cup, the winner of the qualifiers needs to win another play-off against another country) Better opposition during the qualification (this is actually mentioned on Wikipedia, but you can also play friendly matches against better teams) They expected more income (tickets sold, TV broadcasting rights)   Are there any references for these possible reasons, and what was/were the decisive one(s)?",0
"What is the history of the term ""Alley-Oop""?",Sports_27,"""oop"" - most likely a shortened version of hoop?",Is it a shortened version of another phrase?,0
Why were Italy allowed to run offside in their Six Nations match with England?,Sports_28,What rules allow Italy to do this?,"What rules cover this, and why is this restriction in place?",90
Who will qualify for semi-final?,Sports_29,I wonder which team will qualify if following scenario happen?,"Here is the scenario:     According to group A's point table after Bangladesh defeat New   Zealand, if match between Australia and England washout in the rain   who will qualify for the semi-final?",0
Hand setting a hard driven ball (beach volleyball),Sports_30,"In FIVB Offical Beach Volleyball Rules 2017-2020, which rule allows for a double contact while using an overhand finger action on a hard driven ball?",by momentary extended contact with hands) if the ball is coming from   the opponent’s block?,418
Squash: Is there a 'correct' flow to a game?,Sports_31,"are capable of making a well-placed drop shot and ending the rally, why don't they?",Or is their opponent's shot so difficult that they are only able to barely make a return shot?,0
"In little league, can an umpire change their ruling based on advice from coaching staff?",Sports_32,"Is there any basis in the rules for the call being changed, or was the original call correct?","Even if the original call was incorrect, is the umpire permitted to change it at this stage once the outfield team has left the field?",0
"In little league, can an umpire change their ruling based on advice from coaching staff?",Sports_32,"Even if the original call was incorrect, is the umpire permitted to change it at this stage once the outfield team has left the field?",Should umpires in little league be making decisions based on input from coaches from either or both teams?,0
Intentionally being struck with batted ball to prevent a double play,Sports_33,Is this legal?,"If legal, has this ever happened?",103
Why does the fastest racer typically start at the front of the grid?,Sports_34,"So is it ""just the way it is,"" is it tradition, just a decision that was sort of arbitrarily made, or is there another reason why the fastest driver gets to be on the pole?","I'm aware that there are systems where the fastest qualifier isn't just given the pole, but for the purposes of this question, I'm asking what are the reasons (if any are known) that many high profile racing leagues/series place the fastest driver on pole?",0
How many players have been out on 99 run in their international cricket match debut?,Sports_35,Many players have been out on 99 over the years in international cricket match but the question is how many of those player became out in their debut match?,"So what is total number of player who got out in 99 at their debut game combining test, ODI, t20i?",76
"Can the non striking batsman be out if he blocks the field, having been injured",Sports_36,Was the ball dead after it hit the non-striker?,"If not, would the ball have been dead if the non-striker had fallen to the ground, or was otherwise clearly unable to continue?",0
"Can the non striking batsman be out if he blocks the field, having been injured",Sports_36,"If not, would the ball have been dead if the non-striker had fallen to the ground, or was otherwise clearly unable to continue?","Had he fallen to the ground on top of the ball and blocked the fielder, could he have been out obstructing the field?",0
