title,source,q1,q2,sep
Why do minor keys sound “sad”?,Music_0,Why is this?,Is it universal across cultures that use these scales?,0
Why do minor keys sound “sad”?,Music_0,Is it universal across cultures that use these scales?,Do similar connotations exist in other scale systems?,0
How to formulate a chord on the piano?,Music_1,Which notes from a scale form the chord on the keyboard?,Is there a common rule for this?,0
How long would it take to learn to tune a piano?,Music_2,But is this even meaningful?,Could I spend a day with some instructions and get a half-decent job done?,0
How long would it take to learn to tune a piano?,Music_2,Could I spend a day with some instructions and get a half-decent job done?,Or would I just damage the piano or make it worse?,0
Does the three chord trick always end a chord progression on the third chord?,Music_3,"It seems almost a redundant question, but the meat of it is this:  If one is using the three chord trick, is it stylistically required by rules of theory and phrasing to end the progression on the third chord?","While it is pleasing to the ear to complete the phrase and repeat after three chords, will extending the phrase cause major disharmony or dissonance?",0
Does the three chord trick always end a chord progression on the third chord?,Music_3,"While it is pleasing to the ear to complete the phrase and repeat after three chords, will extending the phrase cause major disharmony or dissonance?",What concepts of music theory can be cited to support this?,0
How is the tempo and time signatures related?,Music_4,"At this point I don't think we have given any absolute tempo to this bar just a relative tempo between the notes, right?","Also, is there a standard tempo for a crotchet that people take it for granted?",187
How is the tempo and time signatures related?,Music_4,"Also, is there a standard tempo for a crotchet that people take it for granted?",Is this a standard tempo for it which is a priory assumed?,87
How is the tempo and time signatures related?,Music_4,Is this a standard tempo for it which is a priory assumed?,But this can always be played EXACTLY as the 4/4 with just change in the tempo in my bar denoted by a semi-crotchet = 80 right?,159
How is the tempo and time signatures related?,Music_4,But this can always be played EXACTLY as the 4/4 with just change in the tempo in my bar denoted by a semi-crotchet = 80 right?,Am I wrong to say this?,0
How is the tempo and time signatures related?,Music_4,Am I wrong to say this?,Is it equivalent to saying 2 4/4 bars instead of 4/4 and 4/8 right?,397
Why are there twelve notes in an octave?,Music_5,But my question is still: Why?,Why not 13 or 11?,0
How to differentiate between a diminished fifth and an augmented fourth interval?,Music_6,How can we differentiate when an interval is an augmented fourth or a diminished fifth?,What's the difference?,492
What are the shared fundamental components of Baroque and Minimalist music that make them sound similar?,Music_7,What similarities do these genres share in a way that might impact how they are performed?,Do they have any common foundations in particular aspects of music theory (besides the trivial)?,0
What are the shared fundamental components of Baroque and Minimalist music that make them sound similar?,Music_7,Do they have any common foundations in particular aspects of music theory (besides the trivial)?,Are they historically related?,0
How to transcribe music by ear?,Music_8,What are good practices for transcribing music by ear if one does not have perfect pitch?,Is there a specific piece of musical anatomy (such as the key) that will make figuring out the rest much simpler?,0
Are fast chord changes about muscle memory or finger strength?,Music_9,"My question is, when learning new chords, as you get better does it become easier to learn new chords because you've built up the muscle strength in the fingers and wrist?","Or does each new chord you learn need to be ""programmed"" into muscle memory by repetition?",0
Are fast chord changes about muscle memory or finger strength?,Music_9,"Or does each new chord you learn need to be ""programmed"" into muscle memory by repetition?",Or is it a little of both?,0
Are fast chord changes about muscle memory or finger strength?,Music_9,Or is it a little of both?,What have you found in your experience to be true?,0
What are the most effective ear training methods?,Music_10,What is the best way to improve this?,Is software like EarMaster or GNU Solfege any effective?,0
What are the most effective ear training methods?,Music_10,Is software like EarMaster or GNU Solfege any effective?,Or is it a non natural way to train your ear?,0
